iter	Passed	Remaining
0	2	54793
1	5	55409
2	8	55622
3	11	55103
4	40	161975
5	49	165274
6	71	203411
7	79	199339
8	90	201921
9	120	241191
10	136	248282
11	141	236290
12	146	224579
13	149	213297
14	153	204203
15	156	195968
16	161	189444
17	166	185365
18	171	180830
19	177	177636
20	182	173782
21	188	170902
22	192	167611
23	197	163983
24	200	160531
25	204	156812
26	207	153147
27	209	149765
28	214	147908
29	217	145064
30	222	143167
31	225	140672
32	228	138143
33	231	135802
34	234	133644
35	237	131769
36	240	129870
37	243	127993
38	246	126185
39	249	124484
40	252	123082
41	258	122638
42	261	121375
43	265	120494
44	270	120055
45	274	118975
46	278	118080
47	282	117475
48	287	117033
49	292	116691
50	296	116120
51	303	116465
52	307	115905
53	311	115013
54	322	116940
55	328	117126
56	337	117936
57	342	117832
58	345	116919
59	349	116314
60	354	115718
61	358	115338
62	363	115110
63	369	115027
64	373	114565
65	377	113956
66	388	115558
67	392	115129
68	400	115769
69	405	115406
70	409	115068
71	416	115348
72	420	114687
73	423	114068
74	426	113401
75	433	113590
76	437	113268
77	441	112828
78	446	112701
79	451	112456
80	455	112085
81	460	111795
82	465	111612
83	468	111082
84	472	110673
85	475	110121
86	480	109882
87	484	109532
88	487	109015
89	490	108465
90	496	108662
91	500	108335
92	504	107921
93	508	107714
94	512	107372
95	516	107000
96	520	106807
97	524	106516
98	528	106316
99	531	105855
100	535	105481
101	538	104990
102	547	105686
103	550	105397
104	554	105085
105	562	105515
106	568	105740
107	571	105307
108	576	105125
109	579	104770
110	582	104371
111	585	103910
112	589	103778
113	594	103656
114	597	103320
115	601	103099
116	606	103060
117	610	102885
118	614	102638
119	617	102297
120	621	102148
121	625	101979
122	629	101716
123	632	101330
124	635	100967
125	639	100864
126	642	100589
127	647	100461
128	649	100083
129	657	100424
130	660	100162
131	662	99788
132	665	99470
133	670	99464
134	674	99284
135	677	98937
136	680	98627
137	683	98345
138	689	98474
139	692	98230
140	695	97909
141	697	97601
142	704	97835
143	707	97580
144	710	97293
145	713	96976
146	717	96845
147	721	96765
148	724	96538
149	727	96313
150	730	96022
151	735	95986
152	739	95912
153	742	95685
154	745	95451
155	750	95416
156	754	95323
157	757	95077
158	760	94851
159	762	94605
160	767	94632
161	771	94426
162	773	94168
163	776	93911
164	779	93690
165	785	93862
166	788	93652
167	791	93430
168	794	93208
169	798	93195
170	804	93264
171	808	93166
172	811	92973
173	816	92989
174	819	92807
175	822	92665
176	825	92452
177	829	92416
178	833	92282
179	836	92093
180	838	91864
181	841	91642
182	846	91628
183	849	91516
184	852	91347
185	855	91137
186	858	90928
187	862	90869
188	866	90775
189	868	90604
190	871	90396
191	874	90215
192	879	90248
193	882	90116
194	885	89921
195	888	89735
196	890	89552
197	896	89693
198	899	89546
199	902	89353
200	905	89225
201	911	89311
202	915	89261
203	917	89071
204	920	88913
205	924	88816
206	929	88922
207	933	88795
208	936	88662
209	939	88506
210	945	88642
211	948	88494
212	951	88361
213	953	88187
214	958	88189
215	961	88091
216	964	87962
217	967	87802
218	970	87632
219	976	87834
220	980	87782
221	984	87669
222	987	87538
223	992	87662
224	996	87591
225	999	87478
226	1003	87399
227	1010	87668
228	1014	87583
229	1017	87439
230	1023	87560
231	1026	87467
232	1029	87348
233	1032	87218
234	1036	87137
235	1040	87159
236	1044	87062
237	1047	86966
238	1050	86816
239	1055	86906
240	1059	86840
241	1064	86927
242	1068	86905
243	1074	86991
244	1077	86889
245	1081	86813
246	1087	87007
247	1091	86937
248	1096	86958
249	1101	87016
250	1106	87026
251	1109	86931
252	1112	86829
253	1116	86788
254	1122	86944
255	1126	86890
256	1130	86823
257	1135	86859
258	1139	86871
259	1143	86789
260	1146	86724
261	1152	86841
262	1156	86795
263	1159	86701
264	1163	86648
265	1167	86643
266	1173	86705
267	1177	86674
268	1183	86780
269	1187	86758
270	1190	86669
271	1194	86623
272	1198	86604
273	1202	86595
274	1207	86597
275	1210	86490
276	1214	86509
277	1218	86445
278	1221	86331
279	1223	86194
280	1227	86104
281	1233	86274
282	1237	86217
283	1240	86122
284	1243	86010
285	1247	85970
286	1250	85911
287	1253	85814
288	1256	85698
289	1259	85582
290	1264	85637
291	1268	85588
292	1271	85538
293	1274	85457
294	1278	85431
295	1282	85394
296	1286	85328
297	1290	85335
298	1295	85367
299	1299	85308
300	1302	85212
301	1305	85170
302	1309	85126
303	1313	85086
304	1317	85048
305	1320	84965
306	1323	84884
307	1327	84844
308	1331	84860
309	1335	84811
310	1338	84740
311	1343	84801
312	1347	84744
313	1350	84653
314	1353	84554
315	1355	84455
316	1360	84470
317	1363	84402
318	1366	84307
319	1369	84195
320	1375	84314
321	1379	84291
322	1382	84202
323	1387	84275
324	1394	84415
325	1397	84358
326	1401	84319
327	1407	84443
328	1412	84467
329	1415	84383
330	1418	84313
331	1423	84330
332	1427	84337
333	1431	84273
334	1433	84177
335	1439	84257
336	1443	84215
337	1446	84151
338	1449	84083
339	1454	84092
340	1460	84174
341	1463	84108
342	1467	84079
343	1472	84160
344	1477	84185
345	1481	84130
346	1485	84156
347	1489	84132
348	1493	84098
349	1496	84011
350	1499	83942
351	1504	83963
352	1509	83987
353	1512	83950
354	1516	83944
355	1520	83920
356	1524	83885
357	1527	83806
358	1530	83752
359	1536	83818
360	1539	83743
361	1542	83673
362	1545	83592
363	1550	83636
364	1554	83596
365	1557	83538
366	1560	83458
367	1563	83395
368	1566	83349
369	1570	83341
370	1574	83329
371	1581	83439
372	1585	83449
373	1589	83420
374	1593	83377
